"pickup_datetime","count"
"2018-06-06T06:00:00.000000Z",8637
"2018-06-06T07:00:00.000000Z",15393
"2018-06-06T08:00:00.000000Z",18414
"2018-06-06T09:00:00.000000Z",17488
"2018-06-06T10:00:00.000000Z",15551
"2018-06-06T11:00:00.000000Z",16375
"2018-06-06T12:00:00.000000Z",16700
"2018-06-06T13:00:00.000000Z",16799
"2018-06-06T14:00:00.000000Z",17922
"2018-06-06T15:00:00.000000Z",17961
"2018-06-06T16:00:00.000000Z",16329
"2018-06-06T17:00:00.000000Z",19379
"2018-06-06T18:00:00.000000Z",22442
"2018-06-06T19:00:00.000000Z",21599
"2018-06-06T20:00:00.000000Z",19520
"2018-06-06T21:00:00.000000Z",21573
"2018-06-06T22:00:00.000000Z",19444
"2018-06-06T23:00:00.000000Z",15460
"2018-06-07T00:00:00.000000Z",8748
"2018-06-07T01:00:00.000000Z",4685
"2018-06-07T02:00:00.000000Z",2682
"2018-06-07T03:00:00.000000Z",1801
"2018-06-07T04:00:00.000000Z",1887
"2018-06-07T05:00:00.000000Z",3275
"2018-06-07T06:00:00.000000Z",8600
"2018-06-07T07:00:00.000000Z",15233
"2018-06-07T08:00:00.000000Z",18362
"2018-06-07T09:00:00.000000Z",17521
"2018-06-07T10:00:00.000000Z",16260
"2018-06-07T11:00:00.000000Z",16766
"2018-06-07T12:00:00.000000Z",17122
"2018-06-07T13:00:00.000000Z",16661
"2018-06-07T14:00:00.000000Z",17841
"2018-06-07T15:00:00.000000Z",17770
"2018-06-07T16:00:00.000000Z",16010
"2018-06-07T17:00:00.000000Z",18544
"2018-06-07T18:00:00.000000Z",21769
"2018-06-07T19:00:00.000000Z",22225
"2018-06-07T20:00:00.000000Z",19930
"2018-06-07T21:00:00.000000Z",21311
"2018-06-07T22:00:00.000000Z",19878
"2018-06-07T23:00:00.000000Z",17095
"2018-06-08T00:00:00.000000Z",11254
"2018-06-08T01:00:00.000000Z",6817
"2018-06-08T02:00:00.000000Z",4164
"2018-06-08T03:00:00.000000Z",2784
"2018-06-08T04:00:00.000000Z",2449
"2018-06-08T05:00:00.000000Z",3495
"2018-06-08T06:00:00.000000Z",8388
"2018-06-08T07:00:00.000000Z",14403
"2018-06-08T08:00:00.000000Z",17653
"2018-06-08T09:00:00.000000Z",16158
"2018-06-08T10:00:00.000000Z",15538
"2018-06-08T11:00:00.000000Z",15885
"2018-06-08T12:00:00.000000Z",16190
"2018-06-08T13:00:00.000000Z",16169
"2018-06-08T14:00:00.000000Z",18029
"2018-06-08T15:00:00.000000Z",17423
"2018-06-08T16:00:00.000000Z",16170
"2018-06-08T17:00:00.000000Z",19182
"2018-06-08T18:00:00.000000Z",22103
"2018-06-08T19:00:00.000000Z",21007
"2018-06-08T20:00:00.000000Z",18273
"2018-06-08T21:00:00.000000Z",18389
"2018-06-08T22:00:00.000000Z",19261
"2018-06-08T23:00:00.000000Z",18871
